Link,Name,Brand,Description,SKU,Color,Pattern,Price,Currency,Availability,Images,AggregateRating,Reviews,PropertyValues
https://www.trendyol.com/can-capar/kadin-kruvaze-beli-kemerli-balik-sirti-desenli-kase-palto-p-858577250,CAN ÇAPAR Kadın Kruvaze Beli Kemerli Balık Sırtı Desenli Kaşe Palto,CAN ÇAPAR,"CAN ÇAPAR Kadın Kruvaze Beli Kemerli Balık Sırtı Desenli Kaşe Palto yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",858577250,Gri,Palto,999.9,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1547/product/media/images/ty1549/prod/QC/20240916/11/e4c200df-ba42-3fe4-8f81-8f7929963e3f/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1550/product/media/images/ty1550/prod/QC/20240916/11/3a90f7ff-7842-30aa-baa3-fff29a9989c0/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1550/product/media/images/ty1550/prod/QC/20240916/11/e81a484b-5195-356a-b496-f39b431417f5/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1547/product/media/images/ty1550/prod/QC/20240916/11/01974199-5cc9-347e-b74c-f872da4ed9b9/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1546/product/media/images/ty1550/prod/QC/20240916/11/90f3e405-2719-3703-a541-e1e20a6a25ff/1_org_zoom.jpg""]",null,null,"{""Kumaş Tipi"": ""Dokuma"", ""Stil"": ""Günlük"", ""Kalıp"": ""Relaxed"", ""Renk"": ""Gri"", ""Yaka Tipi"": ""Kruvaze"", ""Boy"": ""Uzun"", ""Siluet"": ""Kruvaze"", ""Desen"": ""Balık sırtı"", ""Kol Tipi"": ""Uzun Kol"", ""Kol Boyu"": ""Uzun"", ""Ek Özellik"": ""Desenli"", ""Sürdürülebilirlik Detayı"": ""Hayır"", ""Ortam"": ""Günlük"", ""Paket İçeriği"": ""Tekli""}"
https://www.trendyol.com/defacto/regular-kalip-kruvaze-yaka-dugme-kapamali-cepli-uzun-kase-kaban-c4108ax24sp-p-796296795,Defacto Regular Kalıp Kruvaze Yaka Düğme Kapamalı Cepli Uzun Kaşe Kaban C4108ax24sp,Defacto,"Defacto Regular Kalıp Kruvaze Yaka Düğme Kapamalı Cepli Uzun Kaşe Kaban C4108ax24sp yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",796296795,Kahve-BN67,Palto,769.99,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1552/product/media/images/ty1552/prod/QC/20240917/12/e5bed980-f5ea-38a9-9c58-04f2bfb1dd5a/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1553/product/media/images/ty1551/prod/QC/20240917/12/1a2b55c6-7549-3e46-9497-042169bbff6f/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1552/product/media/images/ty1551/prod/QC/20240917/12/7dddb490-67ed-3dcd-926e-52f1788f460f/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1553/product/media/images/ty1552/prod/QC/20240917/12/e9710df7-4f73-3438-9d36-49507e317420/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1552/product/media/images/ty1552/prod/QC/20240917/12/fe8c9035-a047-331b-8ceb-ed2b71a8bd7a/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1552/product/media/images/ty1553/prod/QC/20240917/12/cd7a675a-5e52-3c92-a9a0-a8feeefe8b14/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1553/product/media/images/ty1551/prod/QC/20240917/12/ceeb96e2-745a-3b2d-a7d1-bcf647800a1c/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1553/product/media/images/ty1553/prod/QC/20240917/12/d891204c-1708-3212-8dcd-6bf46c0fc2e3/1_org_zoom.jpg""]","{""@type"": ""AggregateRating"", ""ratingValue"": 4.3, ""ratingCount"": 3, ""reviewCount"": 1}","[{""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""L** Y**""}, ""datePublished"": ""2024-06-03"", ""reviewBody"": ""kalın güzel fakat iki beden küçük alabilirsiniz normalde l giyiyorum maldım o bile bol geldi s aldım tam oldu"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}]","{""Kumaş Tipi"": ""Dokuma"", ""Stil"": ""Klasik"", ""Kalıp"": ""Regular"", ""Renk"": ""Kahverengi"", ""Yaka Tipi"": ""Ceket Yaka"", ""Materyal Bileşeni"": ""100% Ürün"", ""Yıkama Talimatı"": ""Type 2"", ""Boy"": ""Regular"", ""Siluet"": ""Regular"", ""Desen"": ""Düz"", ""Kol Tipi"": ""Standart Kol"", ""Sürdürülebilirlik Detayı"": ""Hayır"", ""Ortam"": ""Günlük"", ""Paket İçeriği"": ""Tekli""}"
https://www.trendyol.com/eccim-fashion/kruvaze-yaka-kemerli-uzun-kasmir-palto-kaban-p-827049967,Eccim Fashion Kruvaze Yaka Kemerli Uzun Kaşmir Palto Kaban,Eccim Fashion,"Eccim Fashion Kruvaze Yaka Kemerli Uzun Kaşmir Palto Kaban yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",827049967,Krem,Palto,4500.00,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1298/product/media/images/prod/SPM/PIM/20240506/21/60ad850e-9f8a-3da4-b7ae-66793647dd7f/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1296/product/media/images/prod/SPM/PIM/20240506/21/7bb6e6ac-a470-31a8-af47-85e35c55230c/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1296/product/media/images/prod/SPM/PIM/20240506/21/103b979f-42a8-3610-bd4b-b438661ef7f4/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1300/product/media/images/prod/SPM/PIM/20240506/21/57ed221d-6dac-318d-b14b-492ebc3cb564/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1298/product/media/images/prod/SPM/PIM/20240506/21/65fa8329-c492-3b79-93be-2d84935615c0/1_org_zoom.jpg""]",null,null,"{""Kumaş Tipi"": ""Dokuma"", ""Materyal"": ""Yünlü"", ""Stil"": ""Trend"", ""Kalıp"": ""Oversize"", ""Renk"": ""Bej"", ""Yaka Tipi"": ""Kruvaze"", ""Yıkama Talimatı"": ""Type 1"", ""Boy"": ""Uzun"", ""Siluet"": ""Kruvaze"", ""Kol Tipi"": ""Standart Kol"", ""Kol Boyu"": ""Uzun"", ""Sürdürülebilirlik Detayı"": ""Hayır"", ""Ortam"": ""Günlük""}"
https://www.trendyol.com/kozi/kozi-bomber-jeket-mont-cepli-dugmeli-ekru-bej-p-865332533,Kozi KOZİ BOMBER JEKET MONT CEPLİ DÜĞMELİ EKRU BEJ,Kozi,"Kozi KOZİ BOMBER JEKET MONT CEPLİ DÜĞMELİ EKRU BEJ yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",865332533,bej,Palto,2800.00,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1581/prod/QC/20241011/00/eb8ef375-601c-38cd-8488-1194fde3eedb/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1583/prod/QC/20241011/00/49247fc4-c65c-321a-a429-5f940b04a4d9/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1583/prod/QC/20241011/00/3a6afb44-3df5-339d-87e0-05698c2fea35/1_org_zoom.jpg""]",null,null,"{""Kumaş Tipi"": ""Örme"", ""Materyal"": ""Polyester"", ""Stil"": ""Trend"", ""Kalıp"": ""Regular"", ""Renk"": ""Bej"", ""Yaka Tipi"": ""Ceket Yaka"", ""Yıkama Talimatı"": ""100% polyester"", ""Boy"": ""Standart"", ""Siluet"": ""Orta"", ""Desen"": ""Düz"", ""Kol Tipi"": ""Uzun Kol"", ""Kol Boyu"": ""Uzun"", ""Koleksiyon"": ""Basic"", ""Ortam"": ""Casual""}"
https://www.trendyol.com/loveofzi/kadin-suet-kurklu-uzun-mont-kaban-p-856726434,LOVEOFZI Kadın Süet Kürklü Uzun Mont/Kaban,LOVEOFZI,"LOVEOFZI Kadın Süet Kürklü Uzun Mont/Kaban yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",856726434,SİYAH,Palto,1440.00,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1532/product/media/images/prod/QC/20240908/18/c25f55eb-38e0-3c66-9fe4-3bde867dcf99/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1531/product/media/images/prod/QC/20240908/18/7c99a6b5-0290-3056-b893-9abf9e94b7a4/1_org_zoom.jpg""]","{""@type"": ""AggregateRating"", ""ratingValue"": 5, ""ratingCount"": 2, ""reviewCount"": 1}","[{""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2024-09-16"", ""reviewBody"": ""Görselsek gibi birebir!!"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}]","{""Kumaş Tipi"": ""Dokuma"", ""Materyal"": ""Süet"", ""Stil"": ""Trend"", ""Kalıp"": ""Oversize"", ""Renk"": ""Siyah"", ""Yaka Tipi"": ""Ceket Yaka"", ""Yıkama Talimatı"": ""KURU TEMİZLEME"", ""Boy"": ""170"", ""Siluet"": ""Uzun"", ""Desen"": ""Düz"", ""Kol Tipi"": ""Uzun Kol"", ""Kol Boyu"": ""Uzun"", ""Koleksiyon"": ""Basic"", ""Ek Özellik"": ""Kürk Yaka"", ""Sürdürülebilirlik Detayı"": ""Hayır"", ""Ortam"": ""Casual/Günlük"", ""Paket İçeriği"": ""Tekli""}"
https://www.trendyol.com/marfim/kase-palto-p-755933973,MARFİM KAŞE PALTO,MARFİM,"MARFİM KAŞE PALTO yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",755933973,siyah,Palto,875.00,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1447/product/media/images/prod/QC/20240729/09/88684654-ae53-3a9c-9212-0575cc46aca1/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1446/product/media/images/prod/QC/20240729/09/4afd8547-2092-3404-afc2-5f5283f97745/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1446/product/media/images/prod/QC/20240729/09/5724dfab-c145-3c9b-8bb1-d6d9eacfe608/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1447/product/media/images/prod/QC/20240729/09/bd8d4634-2ae9-39f5-bdd2-f5ba401ceb0c/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1448/product/media/images/prod/QC/20240729/09/6fda3b34-8904-324d-9bfa-8a5ae30418d6/1_org_zoom.jpg""]","{""@type"": ""AggregateRating"", ""ratingValue"": 3.8, ""ratingCount"": 37, ""reviewCount"": 22}","[{""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""E** K**""}, ""datePublished"": ""2023-12-24"", ""reviewBody"": ""anneme aldim 46 beden.70 kilo .cok iyi oldu"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2024-02-01"", ""reviewBody"": ""çox çox şik bir giysi"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""A** H**""}, ""datePublished"": ""2024-01-22"", ""reviewBody"": ""çok beğendim 2ciyide sipariş yaptım"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""M** U** E**""}, ""datePublished"": ""2023-09-29"", ""reviewBody"": ""Tek cümle yeter diyorum harika…..teşekkür ediyorum"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""N** A**""}, ""datePublished"": ""2024-05-10"", ""reviewBody"": ""uygun fiyat ve kaliteli"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2024-04-10"", ""reviewBody"": ""çok güzel  bayıldım"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""G** Q**""}, ""datePublished"": ""2024-02-22"", ""reviewBody"": ""Cox gozeldi"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""S** K**""}, ""datePublished"": ""2024-02-22"", ""reviewBody"": ""bu fiyatla çok büyük bişey beklememek lazım sadece önünde hafif birpotluk var nedenini anlayamadım ama bence bu fiyata çok güzel hoşumagitti teşekkür ederim ❤️"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""s** s**""}, ""datePublished"": ""2023-12-24"", ""reviewBody"": ""foturafdaki gibi.."", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""x** g**""}, ""datePublished"": ""2023-12-08"", ""reviewBody"": ""cok iyi begendiim"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""E** E**""}, ""datePublished"": ""2023-12-07"", ""reviewBody"": ""Azerbaycandan sifariş etdim 7 günə çatdı qiymətinə görə əladı təşəkkür edirəm"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2023-11-25"", ""reviewBody"": ""Azerbaycana siparis etdim çok beyendim tesekkurler 🤌"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""ö** t**""}, ""datePublished"": ""2024-05-19"", ""reviewBody"": ""güzel alın aldırın"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 4, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""Aziz A.""}, ""datePublished"": ""2023-12-12"", ""reviewBody"": ""içinin üzlüğü yoktur"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 4, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2024-01-20"", ""reviewBody"": ""güzel biraz ince ama güzel geldi. dikişi hızlı söküldü."", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 3, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""S** H**""}, ""datePublished"": ""2023-12-05"", ""reviewBody"": ""astarı yok"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 3, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""ş** r**""}, ""datePublished"": ""2023-11-20"", ""reviewBody"": ""e yani idare eder"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 3, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""P** B**""}, ""datePublished"": ""2023-10-12"", ""reviewBody"": ""Beğenmedim kalitesi iyi değildi"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 2, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""S** G**""}, ""datePublished"": ""2024-01-16"", ""reviewBody"": ""Malesef çox kötüü kumaşş pis və yırtıq göndərilmişdi))"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 1, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""G** M**""}, ""datePublished"": ""2023-12-11"", ""reviewBody"": ""çox kalitesizdi🤦🏻‍♀️"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 1, ""worstRating"": 1}}]","{""Kumaş Tipi"": ""Dokuma"", ""Materyal"": ""Yünlü"", ""Stil"": ""Klasik"", ""Kalıp"": ""Regular"", ""Renk"": ""Siyah"", ""Yıkama Talimatı"": ""Type 2"", ""Boy"": ""Uzun"", ""Siluet"": ""Dad"", ""Desen"": ""Düz"", ""Kol Tipi"": ""T Kol"", ""Kol Boyu"": ""Uzun"", ""Koleksiyon"": ""Basic"", ""Ek Özellik"": ""Ek Özellik Mevcut Değil"", ""Sürdürülebilirlik Detayı"": ""Hayır"", ""Ortam"": ""Casual""}"
https://www.trendyol.com/eccim-fashion/kruvaze-yaka-kemerli-uzun-kasmir-kadin-palto-kaban-p-826837545,Eccim Fashion Kruvaze Yaka Kemerli Uzun Kaşmir Kadın Palto Kaban,Eccim Fashion,"Eccim Fashion Kruvaze Yaka Kemerli Uzun Kaşmir Kadın Palto Kaban yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",826837545,Siyah,Palto,4500.00,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1297/product/media/images/prod/SPM/PIM/20240505/18/dcb7d80d-0002-3562-ae59-5aa23b2f5c01/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1298/product/media/images/prod/SPM/PIM/20240505/18/d251496b-2f43-303f-a612-fa0b47b97b25/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1297/product/media/images/prod/SPM/PIM/20240505/18/e4fe99c2-12aa-3afe-9ee5-68f512d2e722/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1296/product/media/images/prod/SPM/PIM/20240505/18/df4f1000-054d-3044-ab02-1b8ad336aa6d/1_org_zoom.jpg""]",null,null,"{""Kumaş Tipi"": ""Dokuma"", ""Materyal"": ""Yünlü"", ""Stil"": ""Trend"", ""Kalıp"": ""Oversize"", ""Renk"": ""Siyah"", ""Yaka Tipi"": ""Kruvaze"", ""Yıkama Talimatı"": ""Type 1"", ""Boy"": ""Uzun"", ""Siluet"": ""Kruvaze"", ""Desen"": ""Desenli"", ""Kol Tipi"": ""Standart Kol"", ""Kol Boyu"": ""Uzun"", ""Sürdürülebilirlik Detayı"": ""Hayır"", ""Ortam"": ""Casual""}"
https://www.trendyol.com/sahraafra/kaban-oversize-p-847818045,SahraAfra Kaban oversize,SahraAfra,"SahraAfra Kaban oversize yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",847818045,Gri,Palto,1790.00,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1461/product/media/images/prod/QC/20240805/16/f08056b2-18c7-3c17-ac34-d61e3b21e737/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1462/product/media/images/prod/QC/20240805/16/be7685da-e7f7-37b1-aa59-d9a19da811cd/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1462/product/media/images/prod/QC/20240805/16/040f3a00-8054-3f8f-97a2-5fb90103f08d/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1463/product/media/images/prod/QC/20240805/16/0cc9c712-1c94-3f05-8746-d194c236a7af/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1463/product/media/images/prod/QC/20240805/16/2a6ba590-0d76-3205-a9fd-5a5d13b7333c/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1463/product/media/images/prod/QC/20240805/16/2e2be273-5397-3e65-8422-106961cf870a/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1463/product/media/images/prod/QC/20240805/16/abf12c08-0a85-3a93-910d-f8cb739231c9/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1462/product/media/images/prod/QC/20240805/16/58d728d5-b00b-37b4-9f11-60963b3f718b/1_org_zoom.jpg""]",null,null,"{""Kumaş Tipi"": ""Dokuma"", ""Materyal"": ""Yünlü"", ""Stil"": ""Trend"", ""Kalıp"": ""Oversize"", ""Renk"": ""Gri"", ""Yaka Tipi"": ""Kruvaze"", ""Materyal Bileşeni"": ""70% Pamuk, 30% Polyester"", ""Yıkama Talimatı"": ""30 derecede elde/kuru temizleme"", ""Boy"": ""Uzun"", ""Siluet"": ""Kruvaze"", ""Desen"": ""Düz"", ""Kol Tipi"": ""Reglan Kol"", ""Kol Boyu"": ""Uzun"", ""Koleksiyon"": ""Business"", ""Ek Özellik"": ""Rüzgar Geçirmez"", ""Sürdürülebilirlik Detayı"": ""Recycle"", ""Ortam"": ""Casual/Günlük"", ""Paket İçeriği"": ""Tekli""}"
https://www.trendyol.com/marfim/kase-palto-p-755934009,MARFİM KAŞE PALTO,MARFİM,"MARFİM KAŞE PALTO yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",755934009,bej,Palto,821.00,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1448/product/media/images/prod/QC/20240729/09/af69720b-08bb-3da8-8705-822e17cdfce8/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1446/product/media/images/prod/QC/20240729/09/9bb079ef-8510-3a2c-b38f-717cd1eecad4/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1448/product/media/images/prod/QC/20240729/09/7a87f73a-8e72-32f2-ab69-c71e9ff2e4b3/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1448/product/media/images/prod/QC/20240729/09/0172c329-402d-3101-91ee-0a34a1c9a15c/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1446/product/media/images/prod/QC/20240729/09/1c3a260e-5603-3355-a053-a146070ffc2a/1_org_zoom.jpg""]","{""@type"": ""AggregateRating"", ""ratingValue"": 3.9, ""ratingCount"": 15, ""reviewCount"": 10}","[{""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""R** G**""}, ""datePublished"": ""2024-03-14"", ""reviewBody"": ""Əla tam istədiyim"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2024-02-17"", ""reviewBody"": ""Çoox gözəl. Mövsümlük."", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""m** ç**""}, ""datePublished"": ""2024-01-27"", ""reviewBody"": ""güzel bir ürün"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2024-01-20"", ""reviewBody"": ""Qayet güzel"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""D** T**""}, ""datePublished"": ""2024-01-12"", ""reviewBody"": ""Fiyat performans kullanışlı"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""T** Ö** M**""}, ""datePublished"": ""2024-03-26"", ""reviewBody"": ""kaban çok farklı geldi beğenemedim iade"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 5, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2023-10-12"", ""reviewBody"": ""çox gözəl gəldi,amma biraz gözlədiyimdən nazik geldi"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 4, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2023-12-16"", ""reviewBody"": ""çok ince ve üzerinde kimyasal kokusu var buram buram"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 2, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""**** ****""}, ""datePublished"": ""2024-02-02"", ""reviewBody"": ""çok ince ve kalitesiz👎🏻sakin almayin"", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 1, ""worstRating"": 1}}, {""@type"": ""Review"", ""author"": {""@type"": ""Person"", ""name"": ""R** I**""}, ""datePublished"": ""2023-12-19"", ""reviewBody"": ""Kimin akılı varsa almasın. Bunun gibi kötü bir palto ola bilmez.Matrealı çok kötü. Kaliyesiz ,astarsız sanki bir kazak."", ""reviewRating"": {""@type"": ""Rating"", ""bestRating"": 5, ""ratingValue"": 1, ""worstRating"": 1}}]","{""Kumaş Tipi"": ""Dokuma"", ""Materyal"": ""Yünlü"", ""Stil"": ""Klasik"", ""Kalıp"": ""Regular"", ""Renk"": ""Bej"", ""Yıkama Talimatı"": ""Type 2"", ""Boy"": ""Uzun"", ""Siluet"": ""Dad"", ""Desen"": ""Düz"", ""Kol Tipi"": ""T Kol"", ""Kol Boyu"": ""Uzun"", ""Koleksiyon"": ""Basic"", ""Ek Özellik"": ""Ek Özellik Mevcut Değil"", ""Sürdürülebilirlik Detayı"": ""Hayır"", ""Ortam"": ""Casual""}"
https://www.trendyol.com/5in1canpolat/bordo-kusakli-kruvaze-palto-509029-p-861310327,5in1Canpolat Bordo Kuşaklı Kruvaze Palto 509029,5in1Canpolat,"5in1Canpolat Bordo Kuşaklı Kruvaze Palto 509029 yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",861310327,Bordo,Palto,2924.99,TRY,https://schema.org/InStock,"[""https://cdn.dsmcdn.com/ty1570/prod/QC/20240925/16/593d4fcc-0fd1-3484-bb25-4dda11fa27b7/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1571/prod/QC/20240925/16/ab644a27-1e8d-372f-8dc7-d554529f5d63/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1571/prod/QC/20240925/16/79d62f10-4d83-323a-b521-435bc6927341/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1571/prod/QC/20240925/16/349a429e-4d53-36d9-b8e8-148d78084818/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1570/prod/QC/20240925/16/4d3f2bed-3185-35f0-9bb5-2fe4d2be19ae/1_org_zoom.jpg"", ""https://cdn.dsmcdn.com/ty1571/prod/QC/20240925/16/1fe08332-8f80-332e-8c01-3e380fc75a44/1_org_zoom.jpg""]",null,null,"{""Kumaş Tipi"": ""Dokuma"", ""Kalıp"": ""Regular"", ""Renk"": ""Bordo"", ""Yaka Tipi"": ""Kruvaze"", ""Boy"": ""Standart"", ""Siluet"": ""Kruvaze""}"
